	X1	X2	X3	product	temperature	logk(T)
OHR1	7.5747	6.5747	6.5747	1	300	-12.57998254
OHR1	7.5747	6.5747	6.5747	1	308	-12.53418294
OHR1	7.5747	6.5747	6.5747	1	316	-12.4904167
OHR1	7.5747	6.5747	6.5747	1	324	-12.44854025
OHR1	7.5747	6.5747	6.5747	1	332	-12.40842352
OHR1	7.5747	6.5747	6.5747	1	340	-12.36994838
OHR1	7.5747	6.5747	6.5747	1	348	-12.33300728
OHR1	7.5747	6.5747	6.5747	1	356	-12.29750207
OHR1	7.5747	6.5747	6.5747	1	364	-12.26334303
OHR1	7.5747	6.5747	6.5747	1	372	-12.23044791
OHR1	7.5747	6.5747	6.5747	1	380	-12.1987412
OHR1	7.5747	6.5747	6.5747	1	388	-12.16815346
OHR1	7.5747	6.5747	6.5747	1	396	-12.13862067
OHR1	7.5747	6.5747	6.5747	1	404	-12.11008376
OHR1	7.5747	6.5747	6.5747	1	412	-12.08248807
OHR1	7.5747	6.5747	6.5747	1	420	-12.05578301
OHR1	7.5747	6.5747	6.5747	1	428	-12.02992164
OHR1	7.5747	6.5747	6.5747	1	436	-12.00486035
OHR1	7.5747	6.5747	6.5747	1	444	-11.98055859
OHR1	7.5747	6.5747	6.5747	1	452	-11.95697856
OHR1	7.5747	6.5747	6.5747	1	460	-11.93408501
OHR1	7.5747	6.5747	6.5747	1	468	-11.91184504
OHR1	7.5747	6.5747	6.5747	1	476	-11.89022785
OHR1	7.5747	6.5747	6.5747	1	484	-11.86920463
OHR1	7.5747	6.5747	6.5747	1	492	-11.84874836
OHR1	7.5747	6.5747	6.5747	1	500	-11.8288337
OHR1	7.5747	6.5747	6.5747	1	508	-11.80943684
OHR1	7.5747	6.5747	6.5747	1	516	-11.79053539
OHR1	7.5747	6.5747	6.5747	1	524	-11.77210829
OHR1	7.5747	6.5747	6.5747	1	532	-11.75413567
OHR1	7.5747	6.5747	6.5747	1	540	-11.73659882
OHR1	7.5747	6.5747	6.5747	1	548	-11.71948007
OHR1	7.5747	6.5747	6.5747	1	556	-11.70276271
OHR1	7.5747	6.5747	6.5747	1	564	-11.68643097
OHR1	7.5747	6.5747	6.5747	1	572	-11.6704699
OHR1	7.5747	6.5747	6.5747	1	580	-11.65486535
OHR1	7.5747	6.5747	6.5747	1	588	-11.63960391
OHR1	7.5747	6.5747	6.5747	1	596	-11.62467286
OHR1	7.5747	6.5747	6.5747	1	604	-11.61006012
OHR1	7.5747	6.5747	6.5747	1	612	-11.59575422
OHR1	7.5747	6.5747	6.5747	1	620	-11.58174425
OHR1	7.5747	6.5747	6.5747	1	628	-11.56801983
OHR1	7.5747	6.5747	6.5747	1	636	-11.55457109
OHR1	7.5747	6.5747	6.5747	1	644	-11.54138862
OHR1	7.5747	6.5747	6.5747	1	652	-11.52846344
OHR1	7.5747	6.5747	6.5747	1	660	-11.51578701
OHR1	7.5747	6.5747	6.5747	1	668	-11.50335116
OHR1	7.5747	6.5747	6.5747	1	676	-11.4911481
OHR1	7.5747	6.5747	6.5747	1	684	-11.47917037
OHR1	7.5747	6.5747	6.5747	1	692	-11.46741087
OHR1	7.5747	6.5747	6.5747	1	700	-11.45586277
OHR1	7.5747	6.5747	6.5747	1	708	-11.44451956
OHR1	7.5747	6.5747	6.5747	1	716	-11.433375
OHR1	7.5747	6.5747	6.5747	1	724	-11.42242311
OHR1	7.5747	6.5747	6.5747	1	732	-11.41165816
OHR1	7.5747	6.5747	6.5747	1	740	-11.40107465
OHR1	7.5747	6.5747	6.5747	1	748	-11.3906673
OHR1	7.5747	6.5747	6.5747	1	756	-11.38043107
OHR1	7.5747	6.5747	6.5747	1	764	-11.37036109
OHR1	7.5747	6.5747	6.5747	1	772	-11.36045268
OHR1	7.5747	6.5747	6.5747	1	780	-11.35070136
OHR1	7.5747	6.5747	6.5747	1	788	-11.34110282
OHR1	7.5747	6.5747	6.5747	1	796	-11.3316529
OHR1	7.5747	6.5747	6.5747	1	804	-11.32234761
OHR1	7.5747	6.5747	6.5747	1	812	-11.31318309
OHR1	7.5747	6.5747	6.5747	1	820	-11.30415566
OHR1	7.5747	6.5747	6.5747	1	828	-11.29526172
OHR1	7.5747	6.5747	6.5747	1	836	-11.28649785
OHR1	7.5747	6.5747	6.5747	1	844	-11.27786073
OHR1	7.5747	6.5747	6.5747	1	852	-11.26934715
OHR1	7.5747	6.5747	6.5747	1	860	-11.26095404
OHR1	7.5747	6.5747	6.5747	1	868	-11.25267839
OHR1	7.5747	6.5747	6.5747	1	876	-11.24451735
OHR1	7.5747	6.5747	6.5747	1	884	-11.23646813
OHR1	7.5747	6.5747	6.5747	1	892	-11.22852803
OHR1	7.5747	6.5747	6.5747	1	900	-11.22069447
OHR1	7.5747	6.5747	6.5747	1	908	-11.21296493
OHR1	7.5747	6.5747	6.5747	1	916	-11.20533699
OHR1	7.5747	6.5747	6.5747	1	924	-11.1978083
OHR1	7.5747	6.5747	6.5747	1	932	-11.19037657
OHR1	7.5747	6.5747	6.5747	1	940	-11.18303962
OHR1	7.5747	6.5747	6.5747	1	948	-11.17579531
OHR1	7.5747	6.5747	6.5747	1	956	-11.16864157
OHR1	7.5747	6.5747	6.5747	1	964	-11.1615764
OHR1	7.5747	6.5747	6.5747	1	972	-11.15459787
OHR1	7.5747	6.5747	6.5747	1	980	-11.1477041
OHR1	7.5747	6.5747	6.5747	1	988	-11.14089325
OHR1	7.5747	6.5747	6.5747	1	996	-11.13416358
OHR1	7.5747	6.5747	6.5747	1	1004	-11.12751335
OHR1	7.5747	6.5747	6.5747	1	1012	-11.12094091
OHR1	7.5747	6.5747	6.5747	1	1020	-11.11444464
OHR1	7.5747	6.5747	6.5747	1	1028	-11.10802297
OHR1	7.5747	6.5747	6.5747	1	1036	-11.10167438
OHR1	7.5747	6.5747	6.5747	1	1044	-11.09539739
OHR1	7.5747	6.5747	6.5747	1	1052	-11.08919056
OHR1	7.5747	6.5747	6.5747	1	1060	-11.08305249
OHR1	7.5747	6.5747	6.5747	1	1068	-11.07698182
OHR1	7.5747	6.5747	6.5747	1	1076	-11.07097724
OHR1	7.5747	6.5747	6.5747	1	1084	-11.06503745
OHR1	7.5747	6.5747	6.5747	1	1092	-11.05916122
OHR1	7.5747	6.5747	6.5747	1	1100	-11.05334731
OHR1	7.5747	6.5747	6.5747	1	1108	-11.04759456
OHR1	7.5747	6.5747	6.5747	1	1116	-11.0419018
OHR1	7.5747	6.5747	6.5747	1	1124	-11.03626793
OHR1	7.5747	6.5747	6.5747	1	1132	-11.03069183
OHR1	7.5747	6.5747	6.5747	1	1140	-11.02517246
OHR1	7.5747	6.5747	6.5747	1	1148	-11.01970878
OHR1	7.5747	6.5747	6.5747	1	1156	-11.01429978
