temperature   1(scheme2)   2    3    4    scheme3   scheme4   scheme5   
300.0 -11.6999655 -12.334558 -12.277039 -12.236038 -12.103854166666666 -12.136900125 -12.071014166666666
303.0 -11.690534 -12.336714 -12.245717 -12.218232 -12.090988333333334 -12.12279925 -12.051494333333332
306.0 -11.681102 -12.338495 -12.21132 -12.200427 -12.076972333333332 -12.107835999999999 -12.030949666666666
309.0 -11.672078 -12.340134 -12.1768875 -12.182622 -12.063033166666665 -12.092930375 -12.010529166666666
312.0 -11.670085 -12.341772 -12.142455 -12.164817 -12.051437333333332 -12.07978225 -11.992452333333333
315.0 -11.668092 -12.343411 -12.108025 -12.149776 -12.039842666666665 -12.067325999999998 -11.975297666666668
318.0 -11.666099 -12.345027 -12.078371 -12.137572 -12.029832333333333 -12.05676725 -11.960680666666667
321.0 -11.664105 -12.346481 -12.053077 -12.129131 -12.021220999999999 -12.0481985 -11.948771
324.0 -11.662112 -12.34739 -12.02736 -12.120689 -12.012287333333333 -12.03938775 -11.936720333333334
327.0 -11.660119 -12.347437 -12.000782 -12.112248 -12.002779333333335 -12.0301465 -11.924382999999999
330.0 -11.658137 -12.347485 -11.983212 -12.1038065 -11.996278000000002 -12.023160125 -11.915051833333331
333.0 -11.656159 -12.34753 -11.968598 -12.095815 -11.990762333333334 -12.0170255 -11.906857333333335
336.0 -11.6541815 -12.3467 -11.953799 -12.088271 -11.984893499999998 -12.010737874999998 -11.8987505
339.0 -11.6522045 -12.3458 -11.937951 -12.080728 -11.978651833333332 -12.004170875 -11.890294500000001
342.0 -11.650227 -12.344901 -11.922102 -12.073184 -11.972410000000002 -11.9976035 -11.881837666666668
345.0 -11.64825 -12.343892 -11.906251 -12.065641 -11.966130999999999 -11.9910085 -11.873380666666668
348.0 -11.646059 -12.3433075 -11.891894 -12.058098 -11.960420166666665 -11.984839625 -11.865350333333334
351.0 -11.642987 -12.340391 -11.877635 -12.050555 -11.953671 -11.977892 -11.857059
354.0 -11.6399145 -12.334648 -11.863296 -12.04301 -11.945952833333331 -11.970217125 -11.848740166666667
357.0 -11.636842 -12.327834 -11.848956 -12.035468 -11.937877333333333 -11.962275 -11.840421999999998
360.0 -11.633595 -12.318922 -11.834617 -12.027926 -11.929044666666668 -11.953765 -11.832046
363.0 -11.629803 -12.308077 -11.820277 -12.020382 -11.919385666666665 -11.944634749999999 -11.823487333333333
366.0 -11.62601 -12.297165 -11.805937 -12.012838 -11.909704 -11.9354875 -11.814928333333334
369.0 -11.621915 -12.286255 -11.791596 -12.005296 -11.899921999999998 -11.9262655 -11.806269
